"Mois de réception de la notification","Année de réception de la notification","Secteur d'activité de l'organisme concerné","Nombre de personnes impactées","Données sensibles","Information des personnes","Natures de la violation|Perte de la confidentialité","Natures de la violation|Perte de la disponibilité","Natures de la violation|Perte de l'intégrité","Typologie des données impactées|Etat civil","Typologie des données impactées|Coordonnées","Typologie des données impactées|Données relatives à des informations financières","Typologie des données impactées|Économiques","Typologie des données impactées|Données d'identification ou d'accès","Typologie des données impactées|La violation concerne d'autres données","Typologie des données impactées|Nir","Typologie des données impactées|Documents officiels","Typologie des données impactées|Données de localisation","Typologie des données impactées|Les données concernées ne sont pas connues pour le moment","Typologie des données impactées|Données relatives à des infractions","Typologie des données impactées|Condamnations","Typologie des données impactées|Mesures de sûreté","Typologie des données impactées|Inconnu","Origine de l'incident|Piratage","Origine de l'incident|Logiciel malveillant  et/ou hameçonnage","Origine de l'incident|Autre","Origine de l'incident|Données personnelles envoyées à un mauvais destinataire","Origine de l'incident|Publication non volontaire d'informations","Origine de l'incident|Equipement perdu ou volé","Origine de l'incident|Données de la mauvaise personne affichées sur le portail du client","Origine de l'incident|Papier perdu","Origine de l'incident|Volé ou laissé accessible dans un endroit non sécurisé","Origine de l'incident|Informations personnelles divulguées de façon verbale","Origine de l'incident|Courrier perdu ou ouvert avant d'être retourné à l'envoyeur","Origine de l'incident|Mise au rebut de documents papier contenant des données personnelles sans destruction physique","Origine de l'incident|Mise au rebut d'appareils numériques contenant des données personnelles sans effacement sécurisé","Causes de l'incident|Acte externe malveillant","Causes de l'incident|Acte interne accidentel","Causes de l'incident|Inconnu","Causes de l'incident|Autre","Causes de l'incident|Acte externe accidentel","Causes de l'incident|Acte interne malveillant"
3,2019,"Activités spécialisées, scientifiques et techniques","Entre 301 et 5000 personnes","Inconnu","Oui, les personnes ont été informées",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Activités immobilières","Entre 301 et 5000 personnes","Inconnu","Non déterminé pour le moment",1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Administration publique","Entre 6 et 50 personnes","Inconnu","Oui, les personnes ont été informées",1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2019,"Activités financières et d'assurance","Entre 0 et 5 personnes","Inconnu","Non, mais elles le seront",1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Activités financières et d'assurance","Entre 0 et 5 personnes","Inconnu","Non ils ne le seront pas",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Autres activités de services","Entre 301 et 5000 personnes","Inconnu","Non, mais elles le seront",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Activités financières et d'assurance","Entre 6 et 50 personnes","Inconnu","Non déterminé pour le moment",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Activités immobilières","Entre 51 et 300 personnes","Inconnu","Non déterminé pour le moment",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Activités spécialisées, scientifiques et techniques","Entre 301 et 5000 personnes","Inconnu","Non déterminé pour le moment",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2019,"Information et communication","Plus de 5000 personnes","Inconnu","Non, mais elles le seront",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Administration publique","Entre 301 et 5000 personnes","Oui","Oui, les personnes ont été informées",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Administration publique","Entre 51 et 300 personnes","Inconnu","Non, mais elles le seront",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Administration publique","Entre 301 et 5000 personnes","Inconnu","Non déterminé pour le moment",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Industrie manufacturière","Entre 301 et 5000 personnes","Inconnu","Oui, les personnes ont été informées",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,2019,"Activités spécialisées, scientifiques et techniques","Entre 51 et 300 personnes","Inconnu","Non ils ne le seront pas",1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Administration publique","Entre 0 et 5 personnes","Oui","Non déterminé pour le moment",1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Information et communication","Entre 0 et 5 personnes","Inconnu","Oui, les personnes ont été informées",1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
3,2019,"Activités financières et d'assurance","Entre 6 et 50 personnes","Inconnu","Non, mais elles le seront",1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
3,2019,"Administration publique","Entre 301 et 5000 personnes","Inconnu","Oui, les personnes ont été informées",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2019,"Activités spécialisées, scientifiques et techniques","Entre 301 et 5000 personnes","Inconnu","Non, mais elles le seront",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2019,"Activités immobilières","Entre 0 et 5 personnes","Inconnu","Non ils ne le seront pas",1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
